File,MRR,Total_Tokens,Predicted_Tokens
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/16925.java.tokens,0.8706896551724138,71,30
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/17011.java.tokens,1.0,5,2
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/matchers/17010.java.tokens,1.0,7,3
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/matchers/17009.java.tokens,0.6234126984126984,375,142
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/16915.java.tokens,0.85,58,26
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/16927.java.tokens,0.7355263157894737,103,39
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/validator/17081.java.tokens,0.9375,40,17
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/validator/17078.java.tokens,0.50177304964539,138,48
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/validator/17077.java.tokens,0.8645833333333334,121,49
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/validator/17080.java.tokens,0.8947368421052632,111,39
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/validator/17079.java.tokens,0.6067245817245818,570,223
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/validator/17082.java.tokens,0.7934782608695652,56,24
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/16917.java.tokens,0.6853183324611897,2404,911
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/16918.java.tokens,0.6157656778558418,314,123
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/runner/17033.java.tokens,0.65,87,26
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/runner/17031.java.tokens,0.5685064935064935,307,111
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/runner/notification/17051.java.tokens,1.0,9,4
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/runner/notification/17048.java.tokens,0.6774175824175824,732,261
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/runner/notification/17047.java.tokens,0.8148888888888889,170,76
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/runner/notification/17046.java.tokens,0.6927860696517413,198,68
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/runner/notification/17049.java.tokens,0.7142857142857143,24,8
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/runner/notification/17050.java.tokens,0.7160031225604996,326,123
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/runner/17028.java.tokens,0.7482993197278911,139,50
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/runner/17038.java.tokens,0.7901960784313725,80,35
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/runner/17037.java.tokens,0.5380660239555946,870,327
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/runner/17035.java.tokens,0.6332063492063492,490,176
/data/ccasal/CodeNLP/DiverseJavaCompletion/junit-team___junit/src/main/java/org/junit/runner/17036.java.tokens,0.581030081030081,401,144
